TrackName;ArtistName;Genre;BPM;Energy;Danceability;LoudnessDB;Liveness;Valence;Length;Acousticness;Speechiness;Popularity
La mujer de verde;IZAL;otros;152;73;17;-6;50;24;304;19;5;46
Ella no es tuya;Myke Towers;reggaeton;97;61;65;-4;65;96;218;39;29;46
Azukita;Steve Aoki;electronica;130;97;6;-4;91;82;226;0;11;69
Wake me Up;Avicii;electronica;124;90;30;-6;78;64;240;0;5;80
The nights;Avicii;electronica;126;88;28;-5;81;65;176;2;4;58
Levels;Avicii;electronica;126;86;28;-7;72;35;308;3;4;66
Hey brother;Avicii;electronica;125;77;22;-5;88;46;254;3;4;77
Waiting for love;Avicii;electronica;128;74;33;-4;76;61;230;31;5;48
Shape of You;Ed Sheeran;pop;96;27;36;-3;9;9;233;8;40;65
Despacito (Featuring Daddy Yankee);Luis Fonsi;pop latino;178;63;75;-5;7;11;229;20;20;100
Lose yourself;Eminen;rap;171;80;12;-5;60;6;320;1;27;13
